,first_name,genders,use,descriptions
133,Arundhati,f,Hinduism,"Arundhati f Hinduism, Indian, HindiThe name of a star (also called Alcor), which was named after a type of climbing plant, possibly meaning ""not restrained"" in Sanskrit. In Hindu belief it is the name of the sage Vasishtha's wife, who is identified with the star."
134,Arushi,f,Hinduism,"Arushi f Hinduism, Indian, HindiFrom Sanskrit अरुष (arusha) meaning ""reddish, dawn"", a word used in the Rigveda to describe the red horses of Agni. This name also appears in the Hindu epic the Mahabharata belonging to a daughter of Manu and the wife of Chyavana, though in this case it might derive from Sanskrit आरुषी (arushi) meaning ""hitting, killing""."
135,Asar,m,Egyptian Mythology (Hypothetical),Asar m Egyptian Mythology (Hypothetical)Reconstructed Egyptian form of Osiris.
136,Ascanius,m,Roman Mythology,"Ascanius m Roman MythologyFrom Greek Ἀσκάνιος (Askanios), of unknown meaning. In Greek and Roman mythology Ascanius, also called Julus, was the son of Aeneas."
137,Asclepius,m,Greek Mythology (Latinized),Asclepius m Greek Mythology (Latinized)Latinized form of Asklepios.
138,Asherah,f,Semitic Mythology,"Asherah f Semitic MythologyPerhaps derived from Semitic roots meaning ""she who walks in the sea"". This was the name of a Semitic mother goddess. She was worshipped by the Israelites before the advent of monotheism."
139,Ashtad,f,Persian Mythology,"Ashtad f Persian MythologyMeans ""justice"" in Persian. This was the name of a Yazata (or angel) in Zoroastrianism."
140,'Ashtoret,f,Biblical Hebrew,"'Ashtoret f Biblical Hebrew, Semitic MythologyHebrew form of Ashtoreth."
141,Ashtoreth,f,Biblical,"Ashtoreth f Biblical, Semitic MythologyFrom עַשְׁתֹרֶת ('Ashtoret), the Hebrew form of the name of a Phoenician goddess of love, war and fertility. Her name is cognate to that of the East Semitic goddess Ishtar."
142,Ashur,m,Semitic Mythology,"Ashur m Semitic MythologyFrom the name of the city of Ashur, the capital of the Assyrian Empire, which is of unknown meaning. Ashur was the patron deity of the city and the chief god of Assyria."
143,Ask,m,Norse Mythology,"Ask m Norse MythologyDerived from Old Norse askr ""ash tree"". In Norse mythology Ask and his wife Embla were the first humans created by the gods."
144,Askanios,m,Greek Mythology,Askanios m Greek MythologyGreek form of Ascanius.
145,Asklepios,m,Greek Mythology,Asklepios m Greek MythologyMeaning unknown. Asklepios (Aesculapius to the Romans) was the god of healing and medicine in Greek mythology. He was the son of Apollo and Coronis.
146,Askr,m,Norse Mythology,Askr m Norse MythologyOld Norse form of Ask.
147,Astarte,f,Semitic Mythology (Hellenized),"Astarte f Semitic Mythology (Hellenized), Biblical GreekGreek form of Ashtoreth."
148,Astraea,f,Greek Mythology (Latinized),"Astraea f Greek Mythology (Latinized)Latinized form of the Greek Ἀστραία (Astraia), derived from Greek ἀστήρ (aster) meaning ""star"". Astraea was a Greek goddess of justice and innocence. After wickedness took root in the world she left the earth and became the constellation Virgo."
149,Astraia,f,Greek Mythology,Astraia f Greek MythologyGreek form of Astraea.
150,Atalanta,f,Greek Mythology (Latinized),"Atalanta f Greek Mythology (Latinized)From the Greek Ἀταλάντη (Atalante) meaning ""equal in weight"", derived from ἀτάλαντος (atalantos), a word related to τάλαντον (talanton) meaning ""a scale, a balance"". In Greek legend she was a fast-footed maiden who refused to marry anyone who could not beat her in a race. She was eventually defeated by Hippomenes, who dropped three golden apples during the race causing her to stop to pick them up."
151,Atem,m,Egyptian Mythology,Atem m Egyptian MythologyVariant of Atum.
152,Aten,m,Egyptian Mythology,Aten m Egyptian MythologyVariant of Aton.
153,Athena,f,Greek Mythology,"Athena f Greek Mythology, EnglishMeaning unknown. Athena was the Greek goddess of wisdom and warfare and the patron goddess of the city of Athens in Greece. It is likely that her name is derived from that of the city, not vice versa. The earliest mention of her seems to be a 15th-century BC Mycenaean Greek inscription from Knossos on Crete.... [more]"
154,Athene,f,Greek Mythology,Athene f Greek MythologyVariant of Athena.
155,Atlas,m,Greek Mythology,"Atlas m Greek MythologyPossibly means ""enduring"" from Greek τλάω (tlao) meaning ""to endure"". In Greek mythology he was a Titan punished by Zeus by being forced to support the heavens on his shoulders."
156,Atli,m,Norse Mythology,"Atli m Norse Mythology, IcelandicOld Norse form of Attila, used in the Norse Völsungasaga to refer to a fictional version of Attila the Hun."
157,Aton,m,Egyptian Mythology,"Aton m Egyptian MythologyFrom Egyptian jtn meaning ""solar disk"". Aton was an Egyptian god of the sun, depicted as a solar disk with long rays extending downwards. The worship of Aton was especially extensive during the reign of the pharaoh Akhenaton, who proclaimed Aton was the only god."
158,Atreus,m,Greek Mythology,"Atreus m Greek MythologyMeans ""fearless"", derived from the Greek negative prefix ἀ (a) and τρέω (treo) meaning ""to fear, to flee"". In Greek mythology, Atreus was a king of Mycenae and the father of Agamemnon and Menelaus."
159,Atropos,f,Greek Mythology,"Atropos f Greek MythologyMeans ""inevitable, inflexible"" in Greek, derived from the negative prefix ἀ (a) combined with τρόπος (tropos) meaning ""direction, manner, fashion"". Atropos was one of the three Fates or Μοῖραι (Moirai) in Greek mythology. When her sister Lachesis decided that a person's life was at an end, Atropos would choose the manner of death and cut the person's life thread."
160,Atum,m,Egyptian Mythology,"Atum m Egyptian MythologyFrom Egyptian jtm or tmw, derived from tm meaning ""completion, totality"". This was the name of an Egyptian creator god. He was first prominently worshipped in Heliopolis during the Old Kingdom."
161,Aurora,f,Italian,"Aurora f Italian, Spanish, Portuguese, English, Romanian, Finnish, Roman MythologyMeans ""dawn"" in Latin. Aurora was the Roman goddess of the morning. It has occasionally been used as a given name since the Renaissance."
162,Austėja,f,Lithuanian,"Austėja f Lithuanian, Baltic MythologyMeans ""to weave"" in Lithuanian. This was the name of the Lithuanian goddess of bees."
163,Auster,m,Roman Mythology,"Auster m Roman MythologyMeans ""south"" in Latin (descended from an Indo-European root meaning ""dawn"", making it related to the English word east). Auster was the Roman god of the south wind."
164,Azrael,m,Judeo-Christian Legend,Azrael m Judeo-Christian LegendVariant of Azriel. This was the name of an angel in Jewish and Islamic tradition who separated the soul from the body upon death. He is sometimes referred to as the Angel of Death.
165,Ba'al,m,Semitic Mythology,"Ba'al m Semitic Mythology, Biblical HebrewHebrew form of Semitic ba'l meaning ""lord, master, possessor"". This was the title of various deities, often associated with storms and fertility, who were worshipped by the Canaanites, Phoenicians, and other peoples of the ancient Near East. It was particularly applied to the god Hadad."
166,Baal,m,Semitic Mythology,"Baal m Semitic Mythology, Biblical Greek, Biblical Latin, BiblicalVariant spelling of Ba'al, and the form used in most translations of the Bible."
167,Ba'al Hammon,m,Semitic Mythology,"Ba'al Hammon m Semitic MythologyFrom Semitic ba'l meaning ""lord"" prefixing another word of uncertain meaning. This was the name of the supreme god worshipped in the Phoenician city of Carthage, alongside his consort Tanith."
168,Bacchus,m,Greek Mythology (Latinized),"Bacchus m Greek Mythology (Latinized)From Greek Βάκχος (Bakchos), derived from ἰάχω (iacho) meaning ""to shout"". This was another name of the Greek god Dionysos, and it was also the name that the Romans commonly used for him."
169,Bahman,m,Persian,"Bahman m Persian, Persian MythologyModern Persian form of Avestan Vohu Manah meaning ""good mind"". This was the name of a Zoroastrian god (one of the Amesha Spenta) associated with domestic animals. It is also the name of the eleventh month in the Iranian calendar."
170,Bahram,m,Persian,"Bahram m Persian, Persian MythologyModern Persian form of Avestan Verethragna meaning ""victory over resistance"". This was the name of a Zoroastrian god (one of the Amesha Spenta) associated with victory and war. This name was borne by several Sassanid emperors. It is also the Persian name for the planet Mars."
171,Baihu,m,Chinese Mythology,"Baihu m Chinese MythologyFrom Chinese 白 (bái) meaning ""white, pure"" and 虎 (hǔ) meaning ""tiger"". This is the Chinese name of the White Tiger, associated with the west and the autumn season."
172,Bala 1,m,Hinduism,"Bala 1 m & f Hinduism, TamilMeans ""young"" in Sanskrit. This is a transcription of both the masculine form बाल and the feminine form बाला (a minor Hindu goddess)."
173,Baladeva,m,Hinduism,"Baladeva m HinduismMeans ""god of strength"" from Sanskrit बल (bala) meaning ""strength"" combined with देव (deva) meaning ""god"". Baladeva (also called Balarama) is the name of the older brother of the Hindu god Krishna."
174,Balder,m,Norse Mythology,"Balder m Norse MythologyFrom Old Norse Baldr meaning ""hero, lord, prince"", derived from baldr meaning ""brave, bold"". In Norse mythology Balder was the handsome son of Odin and Frigg. Because of the disturbing dreams he had when he was young, his mother extracted an oath from every thing in the world that it would not harm him. However the devious god Loki learned that she had overlooked mistletoe. Being jealous, he tricked the blind god Hoder into throwing a branch of mistletoe at Balder, which killed him."
175,Baldr,m,Norse Mythology,Baldr m Norse MythologyOld Norse form of Balder.
176,Baltazar,m,Judeo-Christian Legend,Baltazar m Judeo-Christian LegendVariant of Balthazar.
177,Balthasar,m,Judeo-Christian Legend,Balthasar m Judeo-Christian LegendLatin form of Balthazar.
178,Balthazar,m,Judeo-Christian Legend,"Balthazar m Judeo-Christian LegendVariant of Belshazzar. Balthazar is the name traditionally assigned to one of the wise men (also known as the Magi, or three kings) who visited the newborn Jesus. He was said to have come from Arabia."
179,Barlaam,m,Judeo-Christian Legend,"Barlaam m Judeo-Christian LegendMeaning unknown. In Christian legends Barlaam (recorded as Greek Βαρλαάμ) was a 3rd-century hermit who converted Josaphat, the son of an Indian king, to Christianity. The story is based on that of the Buddha. This name was also borne by two saints."
180,Basajaun,m,Mythology,"Basajaun m MythologyMeans ""lord of the woods"" from Basque baso ""woods"" and jaun ""lord"". This is the name of a character in Basque folklore, the Old Man of the Woods."
181,Bast,f,Egyptian Mythology,"Bast f Egyptian MythologyFrom Egyptian bꜣstt, which was possibly derived from bꜣs meaning ""(ointment) jar"". In Egyptian mythology Bast was a goddess of cats, fertility and the sun who was considered a protector of Lower Egypt. She was often depicted with the head of a lioness or a house cat. As her role in the Egyptian pantheon diminished, she was called Bastet."
182,Bastet,f,Egyptian Mythology,"Bastet f Egyptian MythologyFrom Egyptian bꜣstjt, a variant of Bast. This form of the name, was given to her after the similar goddess Sekhmet (protector of Upper Egypt) became more important."
183,Batraz,m,Ossetian,"Batraz m Ossetian, Caucasian MythologyPossibly from Turkic bagatur meaning ""hero, warrior, brave"". This is the name of the leader of the superhuman Narts in Caucasian mythology."
184,Bébinn,f,Irish,"Bébinn f Irish, Irish MythologyMeans ""fair lady"" in Irish. This name was borne by several characters in Irish mythology, including a goddess of childbirth."
185,Bedivere,m,Welsh Mythology,"Bedivere m Welsh Mythology, Arthurian RomanceFrom the Welsh name Bedwyr, which is of unknown meaning. In Arthurian legends Bedivere was one of the original companions of King Arthur. He first appears in early Welsh tales, and his story was later expanded by Geoffrey of Monmouth in the 12th century. He is the one who throws the sword Excalibur into the lake at the request of the dying Arthur."
186,Bedwyr,m,Welsh,"Bedwyr m Welsh, Welsh Mythology, Arthurian RomanceWelsh form of Bedivere."
187,Bel,m,Semitic Mythology,Bel m Semitic MythologyAkkadian cognate of Ba'al. The Babylonians used it as a title of the god Marduk.
188,Belenos,m,Gaulish Mythology,Belenos m Gaulish MythologyVariant of Belenus.
189,Belenus,m,Gaulish Mythology,"Belenus m Gaulish MythologyProbably from a Celtic word meaning ""bright, brilliant"". This was the name of a Gaulish solar god who was often equated with Apollo."
190,Beli,m,Welsh Mythology,Beli m Welsh MythologyProbably a Welsh derivative of Belenus. Beli Mawr was a Welsh ancestor deity who established several royal lines in Wales.
191,Belial,m,Biblical,"Belial m Biblical, Biblical Latin, Judeo-Christian LegendMeans ""worthless"" in Hebrew. In the Old Testament this term is used to refer to various wicked people. In the New Testament, Paul uses it as a name for Satan. In later Christian tradition Belial became an evil angel associated with lawlessness and lust."
